checkedAt,status,criteriaVersion,passengerCapacity,lowestVisibleDailyRateUsd,vehicleClass,vehicle,estimatedTotalUsd,taxesFeesVisibility,eligibleVehicleCardCount,visiblePricedVehicleCardCount,source,checkedUrl,error
2026-09-06T23:40:26.000Z,success,2,7,80,7 Passenger Std 2WD SUV,7 Passenger Std 2WD SUV — Nissan Pathfinder or similar,455,not_visible,12,38,live_browser_interactive,https://www.hertz.com/us/en/book/vehicles?CDP=2278478&age=25&ddate=2027-05-24T17%3A00%3A00&did=LAST11&ownershipType=CORPORATE&pdate=2027-05-20T19%3A00%3A00&pid=LAST11&travelType=LEISURE,
2026-09-06T19:02:48.589Z,no_visible_rate,,,,,,,not_visible,,,live_browser,https://www.hertz.com/us/en/book/vehicles?age=25&ddate=2027-05-24T17%3A00%3A00&did=LAST11&ownershipType=CORPORATE&pdate=2027-05-20T19%3A00%3A00&pid=LAST11,No visible rendered vehicle-card price matching $N/day was found.
2026-09-06T19:00:50.651Z,no_visible_rate,,,,,,,not_visible,,,live_browser,https://www.hertz.com/us/en/book/vehicles?age=25&ddate=2027-05-24T17%3A00%3A00&did=LAST11&ownershipType=CORPORATE&pdate=2027-05-20T19%3A00%3A00&pid=LAST11,No visible rendered vehicle-card price matching $N/day was found.
2026-09-06T18:59:53.031Z,error,,,,,,,unknown,,,live_browser,https://www.hertz.com/us/en/book/vehicles?pid=LAST11&pdate=2027-05-20T19%3A00%3A00&did=LAST11&ddate=2027-05-24T17%3A00%3A00&CDP=2278478&travelType=LEISURE&ownershipType=CORPORATE&age=25,page.screenshot: Timeout 30000ms exceeded. Call log:  - taking page screenshot  - waiting for fonts to load...  - fonts loaded
2026-09-06T18:59:09.587Z,no_visible_rate,,,,,,,not_visible,,,live_browser,https://www.hertz.com/us/en/book/vehicles?pid=LAST11&pdate=2027-05-20T19%3A00%3A00&did=LAST11&ddate=2027-05-24T17%3A00%3A00&CDP=2278478&travelType=LEISURE&ownershipType=CORPORATE&age=25,No visible rendered vehicle-card price matching $N/day was found.
2026-09-06T18:57:59.471Z,no_visible_rate,,,,,,,not_visible,,,live_browser,https://www.hertz.com/us/en/book/vehicles?pid=LAST11&pdate=2027-05-20T19%3A00%3A00&did=LAST11&ddate=2027-05-24T17%3A00%3A00&CDP=2278478&travelType=LEISURE&ownershipType=CORPORATE&age=25,No visible rendered vehicle-card price matching $N/day was found.
2026-09-06T18:57:20.882Z,no_visible_rate,,,,,,,not_visible,,,live_browser,https://www.hertz.com/us/en/book/vehicles?pid=LAST11&pdate=2027-05-20T19%3A00%3A00&did=LAST11&ddate=2027-05-24T17%3A00%3A00&CDP=2278478&travelType=LEISURE&ownershipType=CORPORATE&age=25,No visible rendered vehicle-card price matching $N/day was found.
2026-09-04T19:00:00.000Z,success,,,52,,Midsize Pickup Regular Cab - Toyota Tacoma or similar,309,not_recorded,,,reconstructed,,
2026-09-01T19:00:00.000Z,success,,,52,,Midsize Pickup Regular Cab - Toyota Tacoma or similar,309,not_recorded,,,reconstructed,,
2026-08-29T19:00:00.000Z,success,,,52,,Small Sedan - Ford Focus or similar,305,not_recorded,,,reconstructed,,
